line,tipo,data_ocorrencia,endereco,latitude,longitude
99,Homicidio,17/02/2017,"RUA MIGUEL DAMASCENO, 131 JD SAO LUIS - 05820180 S.PAULO SP",-23.6670175,-46.742714
100,Homicidio,18/02/2017,"AVENIDA JORNALISTA ROBERTO MARINHO, 3780 CAMPO BELO - 04576010 S.PAULO SP",-23.6328784,-46.670308
101,Homicidio,17/02/2017,"ESTRADA DE ITAPECERICA, 1661 JD SAO LUIS - 05835000 S.PAULO SP",-23.6485499,-46.7491643
102,Homicidio,18/02/2017,"AVENIDA MARIA COELHO AGUIAR, 1258 JD SAO LUIS - 05805000 S.PAULO SP",-23.655199,-46.7358944
103,Homicidio,19/02/2017,"AVENIDA ADRIANO BERTOZZI, 624 PARQUE DO CARMO - 08265000 S.PAULO SP",-23.5719736,-46.4520564
104,Homicidio,20/02/2017,"RUA MACHADO NUNES, 0 CIDADE LIDER - 08275310 S.PAULO SP",-23.5789184,-46.4871316
105,Homicidio,20/02/2017,"AVENIDA MBOI GUACU, 883 JARDIM ANGELA - 04949000 S.PAULO SP",-23.722614,-46.7728594
106,Homicidio,20/02/2017,"RUA MARCO BASAITI, 0 CAPAO REDONDO - 05869250 S.PAULO SP",-23.6751308,-46.7722765
107,Homicidio,20/02/2017,"ESTRADA DO PALANQUE, 4000 IGUATEMI - 08485520 S.PAULO SP",-23.6134707,-46.4093444
108,Homicidio,20/02/2017,"PRACA DOUTOR MARIO MARGARIDO, 33 SE - 01514020 S.PAULO SP",-23.5544809,-46.6289588
109,Homicidio,21/02/2017,"RUA LUIS JULIANI, 1076 SAPOPEMBA - 03978270 S.PAULO SP",-23.6211888,-46.5112089
111,Homicidio,21/02/2017,"RUA LUCIDIO MARCONDES SOUZA, 113 RAPOSO TAVARES - 05569060 S.PAULO SP",-23.5979741,-46.7912874
112,Homicidio,21/02/2017,"RUA LUCIDIO MARCONDES SOUZA, 113 RAPOSO TAVARES - 05569060 S.PAULO SP",-23.5979741,-46.7912874
113,Homicidio,22/02/2017,"RUA ESTADO DO AMAZONAS, 45 SAO MATEUS - 03935000 S.PAULO SP",-23.5902447,-46.5052594
115,Homicidio,23/02/2017,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 19029 TREMEMBE - 02368000 S.PAULO SP",-23.4727845,-46.6072818
116,Homicidio,23/02/2017,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 19029 TREMEMBE - 02368000 S.PAULO SP",-23.4727845,-46.6072818
118,Homicidio,23/02/2017,"TRAVESSA TERRA TOMBADA, 0 IGUATEMI - 08344600 S.PAULO SP",-23.6101946,-46.4518653
119,Homicidio,23/02/2017,"AVENIDA GOVERNADOR CARVALHO PINTO, 3000 CANGAIBA - 03739000 S.PAULO SP",-23.513963,-46.52237
120,Homicidio,23/02/2017,"RUA PAULO SERGIO COSTABILE - CEBOLA, 19 JD SAO LUIS - 04918285 S.PAULO SP",-23.6862323,-46.7377316
123,Homicidio,25/02/2017,"RUA GALENO DE CASTRO, 279 CAMPO GRANDE - 04696040 S.PAULO SP",-23.6713841,-46.7014485
124,Homicidio,26/02/2017,"RUA JALES RODRIGUES SILVA, 331 PONTE RASA - 03881150 S.PAULO SP",-23.5113719,-46.4879091
150,Homicidio,03/02/2017,"RUA AZEVEDO SOARES, 1670 TATUAPE - 03322001 S.PAULO SP",-23.547844,-46.5606526
182,Homicidio,16/02/2017,"ESTACAO METRO ANHANGABAU, 0 REPUBLICA - - S.PAULO SP",-23.5478242,-46.6391881
185,Homicidio,02/02/2017,"RUA DA BARACELA, 46 VILA MARIA - 02190120 S.PAULO SP",-23.5091637,-46.5595699
215,Homicidio,08/02/2017,"RUA EIDE MORENA, 14 CIDADE ADEMAR - 04429190 S.PAULO SP",-23.679115,-46.663364
218,Homicidio,09/02/2017,"AVENIDA TENENTE AMARO FELICISSIMO DA SIL, 221 VILA MARIA - 02177010 S.PAULO SP",-23.5151977,-46.5713819
232,Homicidio,09/02/2017,"AVENIDA TENENTE AMARO FELICISSIMO DA SIL, 221 VILA MARIA - 02177010 S.PAULO SP",-23.5151977,-46.5713819
238,Homicidio,27/02/2017,"AVENIDA DAS JUNTAS PROVISORIAS, 0 IPIRANGA - 04214050 S.PAULO SP",-23.5864493,-46.5985588
245,Homicidio,16/02/2017,"RUA VALTER RIBEIRO MARRANY, 115 CIDADE DUTRA - 04810010 S.PAULO SP",-23.7129265,-46.6965737
246,Homicidio,16/02/2017,"RUA VALTER RIBEIRO MARRANY, 115 CIDADE DUTRA - 04810010 S.PAULO SP",-23.7129265,-46.6965737
252,Homicidio,13/02/2017,"RUA SANTIAGO BUERAS, 9 GRAJAU - 04853050 S.PAULO SP",-23.768645,-46.6779355
