"","ano","numero_bo","tipo","data_ocorrencia","periodo_ocorrencia","flagrante","endereco","latitude","longitude"
"12394",2003,2294,"Roubo de Veículo","07/07/2003","EM HORA INCERTA","Nao","AV DAS NACOES, 403 PQ. NOVO ORATORIO - nan S.ANDRE SP",-23.6449488,-46.4946072
"12395",2003,2294,"Roubo de Veículo","07/07/2003","EM HORA INCERTA","Nao","AV DAS NACOES, 403 PQ. NOVO ORATORIO - nan S.ANDRE SP",-23.6449488,-46.4946072
"12396",2003,7231,"Roubo de Veículo","07/07/2003","PELA MANHA","Nao","AV OTAVIO BRAGA DE MESQUITA SN, 0 VILA BARROS - nan GUARULHOS SP",-23.4495003,-46.508564
"12397",2003,1925,"Roubo de Veículo","07/03/2003","A NOITE","Nao","ROD.PRESIDENTE DUTRA KM.183, 0 MORRO GRANDE - 07500000 S.ISABEL SP",-23.352727,-46.181022
"12398",2003,6639,"Roubo de Veículo","30/06/2003","A TARDE","Nao","AV. ESTADOS UNIDOS, 580 PARQUE DAS NACOES - nan S.ANDRE SP",-23.6369603,-46.5296671
"12399",2003,3304,"Roubo de Veículo","07/07/2003","A NOITE","Nao","AV FRANCISCO MONTEIRO, 0 SANTA LUZIA - nan RIBEIRAO PIRES SP",-23.6985764,-46.3963924
"12400",2003,4976,"Roubo de Veículo","07/07/2003","A NOITE","Nao","R SAO SERAPIAO, 661 VILA RE - 08064000 S.PAULO SP",-23.5251614,-46.4978036
"12401",2003,2733,"Roubo de Veículo","07/07/2003","A NOITE","Nao","R CARNAUBA, 267 VILA ARAPUA - nan S.PAULO SP",-23.6339079,-46.5855369
"12402",2003,1928,"Roubo de Veículo","07/07/2003","A NOITE","Nao","RUA MONTEIRO LOBATO, 0 CENTRO - 07500000 S.ISABEL SP",-23.3208133,-46.2251073
"12403",2003,6654,"Roubo de Veículo","07/07/2003","A NOITE","Nao","AV DOS ESTADOS, 0 JACATUBA - nan S.ANDRE SP",-23.6446169,-46.5283129
"12404",2003,7257,"Roubo de Veículo","07/07/2003","A NOITE","Nao","AV PRES HUMBERTO DE A CASTELO BRANCO, 170 VILA AUGUSTA - nan GUARULHOS SP",-23.4833231,-46.5401509
"12405",2003,5525,"Roubo de Veículo","07/07/2003","A NOITE","Nao","AV MIN GABRIEL REZENDE PASSOS, 377 MOEMA - nan S.PAULO SP",-23.600923,-46.661494
"12406",2003,6269,"Roubo de Veículo","07/07/2003","A NOITE","Nao","AV JOAQUIM GONCALVES LEDO, 320 VL. ROSA - nan S.BERNARDO DO CAMPO SP",-23.7007379,-46.586363
"12407",2003,6658,"Roubo de Veículo","08/07/2003","PELA MANHA","Nao","R FRANCA, 23 PQ.DAS NACOES - nan S.ANDRE SP",-23.635351,-46.5264449
"12408",2003,6658,"Roubo de Veículo","08/07/2003","PELA MANHA","Nao","R FRANCA, 23 PQ.DAS NACOES - nan S.ANDRE SP",-23.635351,-46.5264449
"12409",2003,2145,"Roubo de Veículo","08/07/2003","A TARDE","Nao","RUA CLELIA, 1115 VILA PIRES - nan S.ANDRE SP",-23.6745495,-46.5109313
"12410",2003,2893,"Roubo de Veículo","03/07/2003","A NOITE","Nao","AV TORRES TIBAGI, 0 VILA MILTON - nan GUARULHOS SP",-23.4559174,-46.5490803
"12411",2003,1835,"Roubo de Veículo","08/07/2003","A TARDE","Nao","R DR JOSE SILVIO DE CAMARGO, 2450 JARDIM MIRIAM - nan S.PAULO SP",-23.7066953,-46.6290395
"12412",2003,89,"Roubo de Veículo","08/07/2003","A TARDE","Nao","AV DONA IDA CERATI MAGRINI, 598 JD. PADRE ANCHIETA - nan DIADEMA SP",-23.6863462,-46.5886402
"12413",2003,89,"Roubo de Veículo","08/07/2003","A TARDE","Nao","AV DONA IDA CERATI MAGRINI, 598 JD. PADRE ANCHIETA - nan DIADEMA SP",-23.6863462,-46.5886402
"12414",2003,4994,"Roubo de Veículo","08/07/2003","A TARDE","Nao","R ITINGUCU, 800 VILA GRANADA - nan S.PAULO SP",-23.5231365,-46.5131667
